date;Hours;DK1;DK2
01/01/2019;00 - 01;2806;802
01/01/2019;01 - 02;2935;963
01/01/2019;02 - 03;2430;840
01/01/2019;03 - 04;2395;781
01/01/2019;04 - 05;2330;752
01/01/2019;05 - 06;2254;748
01/01/2019;06 - 07;2473;802
01/01/2019;07 - 08;2473;797
01/01/2019;08 - 09;2408;967
01/01/2019;09 - 10;2662;983
01/01/2019;10 - 11;2576;980
01/01/2019;11 - 12;2699;1009
01/01/2019;12 - 13;2695;992
01/01/2019;13 - 14;2628;949
01/01/2019;14 - 15;2836;970
01/01/2019;15 - 16;2739;950
01/01/2019;16 - 17;2989;981
01/01/2019;17 - 18;3243;906
01/01/2019;18 - 19;3321;1028
01/01/2019;19 - 20;2874;990
01/01/2019;20 - 21;2795;985
01/01/2019;21 - 22;2615;802
01/01/2019;22 - 23;2412;944
01/01/2019;23 - 00;2262;800
02/01/2019;00 - 01;2091;756
02/01/2019;01 - 02;2043;751
02/01/2019;02 - 03;2001;717
02/01/2019;03 - 04;1955;671
02/01/2019;04 - 05;1887;682
02/01/2019;05 - 06;2130;723
02/01/2019;06 - 07;2335;935
02/01/2019;07 - 08;2525;944
02/01/2019;08 - 09;2397;928
02/01/2019;09 - 10;2247;900
02/01/2019;10 - 11;2069;927
02/01/2019;11 - 12;1850;967
02/01/2019;12 - 13;1675;965
02/01/2019;13 - 14;1381;957
02/01/2019;14 - 15;1116;925
02/01/2019;15 - 16;873;854
02/01/2019;16 - 17;808;754
02/01/2019;17 - 18;680;741
02/01/2019;18 - 19;677;712
02/01/2019;19 - 20;652;633
02/01/2019;20 - 21;458;480
02/01/2019;21 - 22;364;401
02/01/2019;22 - 23;493;390
02/01/2019;23 - 00;653;422
03/01/2019;00 - 01;703;461
03/01/2019;01 - 02;785;484
03/01/2019;02 - 03;829;478
03/01/2019;03 - 04;870;494
03/01/2019;04 - 05;885;433
03/01/2019;05 - 06;776;420
03/01/2019;06 - 07;728;394
03/01/2019;07 - 08;768;427
03/01/2019;08 - 09;670;352
03/01/2019;09 - 10;565;287
03/01/2019;10 - 11;442;248
03/01/2019;11 - 12;336;236
03/01/2019;12 - 13;262;211
03/01/2019;13 - 14;275;184
03/01/2019;14 - 15;283;159
03/01/2019;15 - 16;358;173
03/01/2019;16 - 17;504;158
03/01/2019;17 - 18;683;111
03/01/2019;18 - 19;988;126
03/01/2019;19 - 20;1172;83
