date;Hours;DK1;DK2
03/01/2019;20 - 21;1368;77
03/01/2019;21 - 22;1772;81
03/01/2019;22 - 23;2099;86
03/01/2019;23 - 00;2276;176
04/01/2019;00 - 01;2478;271
04/01/2019;01 - 02;2600;417
04/01/2019;02 - 03;2818;536
04/01/2019;03 - 04;2840;694
04/01/2019;04 - 05;2860;695
04/01/2019;05 - 06;2816;729
04/01/2019;06 - 07;2665;724
04/01/2019;07 - 08;2303;672
04/01/2019;08 - 09;1916;634
04/01/2019;09 - 10;1944;663
04/01/2019;10 - 11;2358;617
04/01/2019;11 - 12;2465;601
04/01/2019;12 - 13;2893;568
04/01/2019;13 - 14;3059;433
04/01/2019;14 - 15;3146;360
04/01/2019;15 - 16;3145;443
04/01/2019;16 - 17;2704;528
04/01/2019;17 - 18;2870;635
04/01/2019;18 - 19;3011;701
04/01/2019;19 - 20;3024;674
04/01/2019;20 - 21;3080;625
04/01/2019;21 - 22;3127;622
04/01/2019;22 - 23;3030;681
04/01/2019;23 - 00;2922;684
05/01/2019;00 - 01;2810;655
05/01/2019;01 - 02;2697;646
05/01/2019;02 - 03;2611;576
05/01/2019;03 - 04;2496;555
05/01/2019;04 - 05;2356;530
05/01/2019;05 - 06;2192;504
05/01/2019;06 - 07;1914;488
05/01/2019;07 - 08;1784;425
05/01/2019;08 - 09;1486;364
05/01/2019;09 - 10;1064;280
05/01/2019;10 - 11;836;274
05/01/2019;11 - 12;630;229
05/01/2019;12 - 13;422;237
05/01/2019;13 - 14;314;219
05/01/2019;14 - 15;295;151
05/01/2019;15 - 16;251;133
05/01/2019;16 - 17;187;118
05/01/2019;17 - 18;162;97
05/01/2019;18 - 19;120;75
05/01/2019;19 - 20;128;50
05/01/2019;20 - 21;123;40
05/01/2019;21 - 22;138;19
05/01/2019;22 - 23;134;11
05/01/2019;23 - 00;118;7
06/01/2019;00 - 01;101;7
06/01/2019;01 - 02;125;7
06/01/2019;02 - 03;111;4
06/01/2019;03 - 04;108;4
06/01/2019;04 - 05;185;5
06/01/2019;05 - 06;254;4
06/01/2019;06 - 07;232;5
06/01/2019;07 - 08;223;5
06/01/2019;08 - 09;349;5
06/01/2019;09 - 10;485;11
06/01/2019;10 - 11;584;14
06/01/2019;11 - 12;656;20
06/01/2019;12 - 13;796;24
06/01/2019;13 - 14;829;27
06/01/2019;14 - 15;823;17
06/01/2019;15 - 16;921;15
06/01/2019;16 - 17;1011;16
06/01/2019;17 - 18;1104;26
06/01/2019;18 - 19;1134;45
06/01/2019;19 - 20;1094;63
06/01/2019;20 - 21;1016;69
06/01/2019;21 - 22;946;77
06/01/2019;22 - 23;760;87
06/01/2019;23 - 00;655;83
07/01/2019;00 - 01;683;87
07/01/2019;01 - 02;724;59
07/01/2019;02 - 03;742;74
07/01/2019;03 - 04;769;121
07/01/2019;04 - 05;778;118
07/01/2019;05 - 06;912;109
07/01/2019;06 - 07;972;106
07/01/2019;07 - 08;1022;105
07/01/2019;08 - 09;937;123
07/01/2019;09 - 10;859;135
07/01/2019;10 - 11;843;161
07/01/2019;11 - 12;950;217
07/01/2019;12 - 13;1196;251
07/01/2019;13 - 14;1424;263
07/01/2019;14 - 15;1813;202
07/01/2019;15 - 16;2334;266
07/01/2019;16 - 17;2877;458
07/01/2019;17 - 18;3283;705
07/01/2019;18 - 19;3438;867
07/01/2019;19 - 20;3200;923
07/01/2019;20 - 21;2980;954
07/01/2019;21 - 22;2935;953
07/01/2019;22 - 23;2890;897
07/01/2019;23 - 00;3076;865
08/01/2019;00 - 01;3129;859
08/01/2019;01 - 02;2802;863
08/01/2019;02 - 03;2810;887
08/01/2019;03 - 04;2681;915
08/01/2019;04 - 05;2652;898
08/01/2019;05 - 06;2607;922
08/01/2019;06 - 07;2752;883
08/01/2019;07 - 08;2974;813
08/01/2019;08 - 09;3102;819
08/01/2019;09 - 10;2908;869
08/01/2019;10 - 11;2683;922
08/01/2019;11 - 12;2690;947
08/01/2019;12 - 13;2979;964
08/01/2019;13 - 14;3299;939
08/01/2019;14 - 15;3458;936
08/01/2019;15 - 16;3518;958
08/01/2019;16 - 17;3567;964
08/01/2019;17 - 18;3622;953
08/01/2019;18 - 19;3662;964
08/01/2019;19 - 20;3618;979
08/01/2019;20 - 21;3490;988
08/01/2019;21 - 22;3463;1005
08/01/2019;22 - 23;3286;994
08/01/2019;23 - 00;3079;991
09/01/2019;00 - 01;2883;970
09/01/2019;01 - 02;3115;970
09/01/2019;02 - 03;3246;971
09/01/2019;03 - 04;3187;970
09/01/2019;04 - 05;3121;962
09/01/2019;05 - 06;3083;951
09/01/2019;06 - 07;3151;954
09/01/2019;07 - 08;3127;943
09/01/2019;08 - 09;3085;936
09/01/2019;09 - 10;3038;931
09/01/2019;10 - 11;3001;922
09/01/2019;11 - 12;3105;912
09/01/2019;12 - 13;3203;914
09/01/2019;13 - 14;3145;894
09/01/2019;14 - 15;2844;889
09/01/2019;15 - 16;2428;848
09/01/2019;16 - 17;2100;799
09/01/2019;17 - 18;1899;754
09/01/2019;18 - 19;1651;702
09/01/2019;19 - 20;1422;581
09/01/2019;20 - 21;1123;475
09/01/2019;21 - 22;866;405
09/01/2019;22 - 23;619;343
09/01/2019;23 - 00;371;265
10/01/2019;00 - 01;265;190
10/01/2019;01 - 02;217;148
10/01/2019;02 - 03;171;142
10/01/2019;03 - 04;96;102
10/01/2019;04 - 05;70;82
10/01/2019;05 - 06;58;68
10/01/2019;06 - 07;51;69
10/01/2019;07 - 08;35;62
10/01/2019;08 - 09;86;58
10/01/2019;09 - 10;212;55
10/01/2019;10 - 11;295;29
10/01/2019;11 - 12;293;8
10/01/2019;12 - 13;316;6
10/01/2019;13 - 14;380;9
10/01/2019;14 - 15;494;13
10/01/2019;15 - 16;631;16
10/01/2019;16 - 17;828;35
10/01/2019;17 - 18;1023;69
10/01/2019;18 - 19;1135;107
10/01/2019;19 - 20;1275;144
10/01/2019;20 - 21;1356;233
10/01/2019;21 - 22;1573;323
10/01/2019;22 - 23;1897;442
10/01/2019;23 - 00;1865;554
11/01/2019;00 - 01;1880;623
11/01/2019;01 - 02;2183;602
11/01/2019;02 - 03;2554;559
11/01/2019;03 - 04;2645;560
11/01/2019;04 - 05;2765;556
11/01/2019;05 - 06;2927;593
11/01/2019;06 - 07;3097;649
11/01/2019;07 - 08;3102;710
11/01/2019;08 - 09;3105;741
11/01/2019;09 - 10;3081;730
11/01/2019;10 - 11;3153;719
11/01/2019;11 - 12;3173;675
11/01/2019;12 - 13;3241;622
11/01/2019;13 - 14;3288;602
11/01/2019;14 - 15;3195;570
11/01/2019;15 - 16;3102;581
11/01/2019;16 - 17;2755;533
11/01/2019;17 - 18;2378;496
11/01/2019;18 - 19;2053;462
11/01/2019;19 - 20;1795;399
11/01/2019;20 - 21;1664;375
11/01/2019;21 - 22;1538;343
11/01/2019;22 - 23;1466;268
11/01/2019;23 - 00;1419;247
12/01/2019;00 - 01;1451;291
12/01/2019;01 - 02;1510;331
12/01/2019;02 - 03;1699;365
12/01/2019;03 - 04;1691;416
12/01/2019;04 - 05;1948;436
12/01/2019;05 - 06;2176;334
12/01/2019;06 - 07;2070;416
12/01/2019;07 - 08;1840;511
12/01/2019;08 - 09;1787;550
12/01/2019;09 - 10;1641;590
12/01/2019;10 - 11;1634;631
12/01/2019;11 - 12;1821;656
12/01/2019;12 - 13;1968;669
12/01/2019;13 - 14;2087;738
12/01/2019;14 - 15;2236;761
12/01/2019;15 - 16;2362;751
12/01/2019;16 - 17;2509;752
12/01/2019;17 - 18;2439;770
12/01/2019;18 - 19;2413;785
12/01/2019;19 - 20;2244;796
12/01/2019;20 - 21;2033;780
12/01/2019;21 - 22;1849;768
12/01/2019;22 - 23;1612;737
12/01/2019;23 - 00;1508;714
13/01/2019;00 - 01;1479;662
13/01/2019;01 - 02;1431;657
13/01/2019;02 - 03;1636;620
13/01/2019;03 - 04;1802;595
13/01/2019;04 - 05;2137;581
13/01/2019;05 - 06;2355;658
13/01/2019;06 - 07;2330;717
13/01/2019;07 - 08;2372;711
13/01/2019;08 - 09;2675;696
13/01/2019;09 - 10;3045;720
13/01/2019;10 - 11;3347;872
13/01/2019;11 - 12;3483;919
13/01/2019;12 - 13;3536;904
13/01/2019;13 - 14;3399;932
13/01/2019;14 - 15;3366;948
13/01/2019;15 - 16;3405;937
13/01/2019;16 - 17;3518;912
13/01/2019;17 - 18;3614;958
13/01/2019;18 - 19;3591;981
13/01/2019;19 - 20;3423;957
13/01/2019;20 - 21;3177;981
13/01/2019;21 - 22;3085;990
13/01/2019;22 - 23;3039;991
13/01/2019;23 - 00;2307;988
14/01/2019;00 - 01;3054;963
14/01/2019;01 - 02;2848;793
14/01/2019;02 - 03;2730;784
14/01/2019;03 - 04;3010;820
14/01/2019;04 - 05;3112;977
14/01/2019;05 - 06;3102;983
14/01/2019;06 - 07;3386;1006
14/01/2019;07 - 08;3447;999
14/01/2019;08 - 09;3419;970
14/01/2019;09 - 10;3367;992
14/01/2019;10 - 11;3338;993
14/01/2019;11 - 12;3402;1002
14/01/2019;12 - 13;3459;1004
14/01/2019;13 - 14;3465;995
14/01/2019;14 - 15;3411;987
14/01/2019;15 - 16;3417;978
14/01/2019;16 - 17;3287;968
14/01/2019;17 - 18;3286;969
14/01/2019;18 - 19;3317;966
14/01/2019;19 - 20;3266;955
14/01/2019;20 - 21;3263;915
14/01/2019;21 - 22;3237;894
14/01/2019;22 - 23;2973;881
14/01/2019;23 - 00;2668;922
15/01/2019;00 - 01;2319;906
15/01/2019;01 - 02;2105;907
15/01/2019;02 - 03;2192;854
15/01/2019;03 - 04;2268;775
15/01/2019;04 - 05;2210;810
15/01/2019;05 - 06;1923;804
15/01/2019;06 - 07;1771;840
15/01/2019;07 - 08;1548;805
15/01/2019;08 - 09;1478;695
15/01/2019;09 - 10;1480;668
15/01/2019;10 - 11;2171;659
15/01/2019;11 - 12;2536;689
15/01/2019;12 - 13;3288;791
15/01/2019;13 - 14;3495;900
15/01/2019;14 - 15;3526;944
15/01/2019;15 - 16;3465;959
15/01/2019;16 - 17;3238;966
15/01/2019;17 - 18;2991;953
15/01/2019;18 - 19;2794;929
15/01/2019;19 - 20;2640;898
15/01/2019;20 - 21;2269;845
15/01/2019;21 - 22;2081;834
15/01/2019;22 - 23;1832;818
15/01/2019;23 - 00;1708;767
16/01/2019;00 - 01;1752;645
16/01/2019;01 - 02;1964;609
16/01/2019;02 - 03;1971;669
16/01/2019;03 - 04;1969;714
16/01/2019;04 - 05;2115;762
16/01/2019;05 - 06;2286;783
16/01/2019;06 - 07;2653;789
16/01/2019;07 - 08;2845;737
16/01/2019;08 - 09;2892;682
16/01/2019;09 - 10;3027;664
16/01/2019;10 - 11;3194;664
16/01/2019;11 - 12;3341;735
16/01/2019;12 - 13;3454;746
16/01/2019;13 - 14;3490;823
16/01/2019;14 - 15;3468;840
16/01/2019;15 - 16;3388;876
16/01/2019;16 - 17;3534;905
16/01/2019;17 - 18;3573;928
16/01/2019;18 - 19;3533;949
16/01/2019;19 - 20;3263;973
16/01/2019;20 - 21;3024;985
16/01/2019;21 - 22;2845;995
16/01/2019;22 - 23;2566;993
16/01/2019;23 - 00;2516;975
17/01/2019;00 - 01;2360;939
17/01/2019;01 - 02;2239;888
17/01/2019;02 - 03;2078;844
17/01/2019;03 - 04;1844;803
17/01/2019;04 - 05;1549;840
17/01/2019;05 - 06;1270;801
17/01/2019;06 - 07;967;840
17/01/2019;07 - 08;684;847
17/01/2019;08 - 09;600;828
17/01/2019;09 - 10;658;789
17/01/2019;10 - 11;840;785
17/01/2019;11 - 12;1170;803
17/01/2019;12 - 13;1365;791
17/01/2019;13 - 14;1511;793
17/01/2019;14 - 15;1652;768
17/01/2019;15 - 16;1657;710
17/01/2019;16 - 17;1567;574
17/01/2019;17 - 18;1560;453
17/01/2019;18 - 19;1653;516
17/01/2019;19 - 20;1710;519
17/01/2019;20 - 21;1609;646
17/01/2019;21 - 22;1318;730
17/01/2019;22 - 23;906;756
17/01/2019;23 - 00;726;726
18/01/2019;00 - 01;603;684
18/01/2019;01 - 02;491;562
18/01/2019;02 - 03;518;430
18/01/2019;03 - 04;692;241
18/01/2019;04 - 05;841;186
18/01/2019;05 - 06;977;195
18/01/2019;06 - 07;931;129
18/01/2019;07 - 08;816;82
18/01/2019;08 - 09;767;128
18/01/2019;09 - 10;616;258
18/01/2019;10 - 11;485;347
18/01/2019;11 - 12;418;461
18/01/2019;12 - 13;429;446
18/01/2019;13 - 14;595;429
18/01/2019;14 - 15;829;371
18/01/2019;15 - 16;911;336
18/01/2019;16 - 17;1002;283
18/01/2019;17 - 18;1034;211
18/01/2019;18 - 19;992;188
18/01/2019;19 - 20;836;224
18/01/2019;20 - 21;675;270
18/01/2019;21 - 22;584;281
18/01/2019;22 - 23;516;284
18/01/2019;23 - 00;507;275
19/01/2019;00 - 01;534;228
19/01/2019;01 - 02;547;203
19/01/2019;02 - 03;530;188
19/01/2019;03 - 04;543;151
19/01/2019;04 - 05;557;102
19/01/2019;05 - 06;569;88
19/01/2019;06 - 07;542;74
19/01/2019;07 - 08;563;67
19/01/2019;08 - 09;708;72
19/01/2019;09 - 10;806;83
19/01/2019;10 - 11;859;76
19/01/2019;11 - 12;810;77
19/01/2019;12 - 13;785;84
19/01/2019;13 - 14;836;77
19/01/2019;14 - 15;785;53
19/01/2019;15 - 16;707;35
19/01/2019;16 - 17;730;25
19/01/2019;17 - 18;805;23
19/01/2019;18 - 19;836;27
19/01/2019;19 - 20;833;43
19/01/2019;20 - 21;853;52
19/01/2019;21 - 22;807;53
19/01/2019;22 - 23;734;53
19/01/2019;23 - 00;707;49
20/01/2019;00 - 01;694;49
20/01/2019;01 - 02;673;43
20/01/2019;02 - 03;580;38
20/01/2019;03 - 04;540;39
20/01/2019;04 - 05;486;38
20/01/2019;05 - 06;445;38
20/01/2019;06 - 07;418;29
20/01/2019;07 - 08;368;32
20/01/2019;08 - 09;291;30
20/01/2019;09 - 10;255;34
20/01/2019;10 - 11;227;32
20/01/2019;11 - 12;202;30
20/01/2019;12 - 13;198;29
20/01/2019;13 - 14;193;30
20/01/2019;14 - 15;162;34
20/01/2019;15 - 16;205;41
20/01/2019;16 - 17;253;46
20/01/2019;17 - 18;332;45
20/01/2019;18 - 19;473;62
20/01/2019;19 - 20;569;57
20/01/2019;20 - 21;699;65
20/01/2019;21 - 22;864;83
20/01/2019;22 - 23;1123;109
20/01/2019;23 - 00;1470;160
21/01/2019;00 - 01;1732;201
21/01/2019;01 - 02;1842;212
21/01/2019;02 - 03;1981;224
21/01/2019;03 - 04;2036;274
21/01/2019;04 - 05;1952;325
21/01/2019;05 - 06;1787;398
21/01/2019;06 - 07;1869;490
21/01/2019;07 - 08;1866;637
21/01/2019;08 - 09;1932;686
21/01/2019;09 - 10;2125;702
21/01/2019;10 - 11;1887;675
21/01/2019;11 - 12;1876;697
21/01/2019;12 - 13;1613;625
21/01/2019;13 - 14;1567;626
21/01/2019;14 - 15;1340;674
21/01/2019;15 - 16;990;679
21/01/2019;16 - 17;866;664
21/01/2019;17 - 18;685;582
21/01/2019;18 - 19;446;524
21/01/2019;19 - 20;284;459
21/01/2019;20 - 21;155;370
21/01/2019;21 - 22;90;306
21/01/2019;22 - 23;57;263
21/01/2019;23 - 00;46;223
22/01/2019;00 - 01;73;190
22/01/2019;01 - 02;170;141
22/01/2019;02 - 03;285;113
22/01/2019;03 - 04;409;81
22/01/2019;04 - 05;500;45
22/01/2019;05 - 06;651;30
22/01/2019;06 - 07;800;55
22/01/2019;07 - 08;871;102
22/01/2019;08 - 09;884;101
22/01/2019;09 - 10;914;89
22/01/2019;10 - 11;1000;91
22/01/2019;11 - 12;1139;128
22/01/2019;12 - 13;1256;178
22/01/2019;13 - 14;1413;205
22/01/2019;14 - 15;1475;265
22/01/2019;15 - 16;1603;317
22/01/2019;16 - 17;1697;368
22/01/2019;17 - 18;1842;470
22/01/2019;18 - 19;2009;560
22/01/2019;19 - 20;2107;599
22/01/2019;20 - 21;2001;625
22/01/2019;21 - 22;1894;616
22/01/2019;22 - 23;1786;625
22/01/2019;23 - 00;1683;593
23/01/2019;00 - 01;1560;544
23/01/2019;01 - 02;1488;479
23/01/2019;02 - 03;1412;404
23/01/2019;03 - 04;1352;378
23/01/2019;04 - 05;1328;390
23/01/2019;05 - 06;1329;414
23/01/2019;06 - 07;1348;435
23/01/2019;07 - 08;1335;430
23/01/2019;08 - 09;1226;411
23/01/2019;09 - 10;1145;327
23/01/2019;10 - 11;1101;216
23/01/2019;11 - 12;1075;176
23/01/2019;12 - 13;1042;160
23/01/2019;13 - 14;1013;139
23/01/2019;14 - 15;960;134
23/01/2019;15 - 16;767;170
23/01/2019;16 - 17;622;212
23/01/2019;17 - 18;517;243
23/01/2019;18 - 19;506;217
23/01/2019;19 - 20;503;218
23/01/2019;20 - 21;478;255
23/01/2019;21 - 22;553;256
23/01/2019;22 - 23;595;235
23/01/2019;23 - 00;619;225
24/01/2019;00 - 01;625;220
24/01/2019;01 - 02;633;206
24/01/2019;02 - 03;597;169
24/01/2019;03 - 04;573;137
24/01/2019;04 - 05;529;126
24/01/2019;05 - 06;491;109
24/01/2019;06 - 07;450;114
24/01/2019;07 - 08;420;105
24/01/2019;08 - 09;403;104
24/01/2019;09 - 10;414;99
24/01/2019;10 - 11;426;95
24/01/2019;11 - 12;484;83
24/01/2019;12 - 13;463;71
24/01/2019;13 - 14;407;58
24/01/2019;14 - 15;331;41
24/01/2019;15 - 16;352;29
24/01/2019;16 - 17;287;36
24/01/2019;17 - 18;223;26
24/01/2019;18 - 19;230;19
24/01/2019;19 - 20;226;15
24/01/2019;20 - 21;223;17
24/01/2019;21 - 22;186;21
24/01/2019;22 - 23;137;22
24/01/2019;23 - 00;110;19
25/01/2019;00 - 01;76;16
25/01/2019;01 - 02;50;19
25/01/2019;02 - 03;58;25
25/01/2019;03 - 04;67;17
25/01/2019;04 - 05;72;11
25/01/2019;05 - 06;84;14
25/01/2019;06 - 07;178;21
25/01/2019;07 - 08;310;12
25/01/2019;08 - 09;378;34
25/01/2019;09 - 10;437;73
25/01/2019;10 - 11;425;111
25/01/2019;11 - 12;511;108
25/01/2019;12 - 13;613;85
25/01/2019;13 - 14;751;98
25/01/2019;14 - 15;802;121
25/01/2019;15 - 16;942;122
25/01/2019;16 - 17;1169;132
25/01/2019;17 - 18;1431;144
25/01/2019;18 - 19;1644;198
25/01/2019;19 - 20;1635;253
25/01/2019;20 - 21;1534;307
25/01/2019;21 - 22;1451;383
25/01/2019;22 - 23;1226;385
25/01/2019;23 - 00;1128;351
26/01/2019;00 - 01;1219;246
26/01/2019;01 - 02;1104;218
26/01/2019;02 - 03;1019;185
26/01/2019;03 - 04;1035;137
26/01/2019;04 - 05;1057;92
26/01/2019;05 - 06;1087;84
26/01/2019;06 - 07;1075;101
26/01/2019;07 - 08;975;93
26/01/2019;08 - 09;830;87
26/01/2019;09 - 10;721;89
26/01/2019;10 - 11;672;110
26/01/2019;11 - 12;573;117
26/01/2019;12 - 13;458;109
26/01/2019;13 - 14;435;139
26/01/2019;14 - 15;449;118
26/01/2019;15 - 16;478;103
26/01/2019;16 - 17;658;61
26/01/2019;17 - 18;922;71
26/01/2019;18 - 19;1197;134
26/01/2019;19 - 20;1469;162
26/01/2019;20 - 21;1680;186
26/01/2019;21 - 22;1931;259
26/01/2019;22 - 23;2069;353
26/01/2019;23 - 00;2169;393
27/01/2019;00 - 01;2241;386
27/01/2019;01 - 02;2249;413
27/01/2019;02 - 03;2251;492
27/01/2019;03 - 04;2229;487
27/01/2019;04 - 05;2210;492
27/01/2019;05 - 06;2266;496
27/01/2019;06 - 07;2325;543
27/01/2019;07 - 08;2342;562
27/01/2019;08 - 09;2310;538
27/01/2019;09 - 10;2184;508
27/01/2019;10 - 11;2001;453
27/01/2019;11 - 12;1792;485
27/01/2019;12 - 13;1626;435
27/01/2019;13 - 14;1505;361
27/01/2019;14 - 15;1395;330
27/01/2019;15 - 16;1321;366
27/01/2019;16 - 17;1249;358
27/01/2019;17 - 18;1180;402
27/01/2019;18 - 19;1095;378
27/01/2019;19 - 20;1018;381
27/01/2019;20 - 21;960;360
27/01/2019;21 - 22;899;354
27/01/2019;22 - 23;841;278
27/01/2019;23 - 00;778;214
28/01/2019;00 - 01;721;213
28/01/2019;01 - 02;643;169
28/01/2019;02 - 03;538;211
28/01/2019;03 - 04;549;228
28/01/2019;04 - 05;519;210
28/01/2019;05 - 06;530;287
28/01/2019;06 - 07;539;258
28/01/2019;07 - 08;616;139
28/01/2019;08 - 09;812;117
28/01/2019;09 - 10;1011;135
28/01/2019;10 - 11;1188;125
28/01/2019;11 - 12;1239;109
28/01/2019;12 - 13;1274;88
28/01/2019;13 - 14;1272;68
28/01/2019;14 - 15;1387;41
28/01/2019;15 - 16;1431;29
28/01/2019;16 - 17;1413;33
28/01/2019;17 - 18;1434;58
28/01/2019;18 - 19;1365;111
28/01/2019;19 - 20;1250;212
28/01/2019;20 - 21;1128;321
28/01/2019;21 - 22;964;370
28/01/2019;22 - 23;814;410
28/01/2019;23 - 00;875;441
29/01/2019;00 - 01;1051;416
29/01/2019;01 - 02;935;402
29/01/2019;02 - 03;725;398
29/01/2019;03 - 04;648;383
29/01/2019;04 - 05;548;316
29/01/2019;05 - 06;469;220
29/01/2019;06 - 07;442;202
29/01/2019;07 - 08;375;207
29/01/2019;08 - 09;248;196
29/01/2019;09 - 10;213;215
29/01/2019;10 - 11;209;203
29/01/2019;11 - 12;266;223
29/01/2019;12 - 13;304;232
29/01/2019;13 - 14;476;280
29/01/2019;14 - 15;494;320
29/01/2019;15 - 16;384;228
29/01/2019;16 - 17;359;200
29/01/2019;17 - 18;431;251
29/01/2019;18 - 19;551;245
29/01/2019;19 - 20;642;403
29/01/2019;20 - 21;753;434
29/01/2019;21 - 22;754;393
29/01/2019;22 - 23;905;348
29/01/2019;23 - 00;822;275
30/01/2019;00 - 01;720;178
30/01/2019;01 - 02;743;126
30/01/2019;02 - 03;683;91
30/01/2019;03 - 04;656;85
30/01/2019;04 - 05;688;122
30/01/2019;05 - 06;774;165
30/01/2019;06 - 07;814;228
30/01/2019;07 - 08;888;274
30/01/2019;08 - 09;935;325
30/01/2019;09 - 10;992;347
30/01/2019;10 - 11;1021;378
30/01/2019;11 - 12;1048;386
30/01/2019;12 - 13;1074;360
30/01/2019;13 - 14;1077;373
30/01/2019;14 - 15;1222;469
30/01/2019;15 - 16;1430;605
30/01/2019;16 - 17;1604;638
30/01/2019;17 - 18;1776;665
30/01/2019;18 - 19;1973;700
30/01/2019;19 - 20;2102;757
30/01/2019;20 - 21;2206;800
30/01/2019;21 - 22;2229;814
30/01/2019;22 - 23;2207;776
30/01/2019;23 - 00;2212;772
31/01/2019;00 - 01;2205;752
31/01/2019;01 - 02;2249;708
31/01/2019;02 - 03;2294;683
31/01/2019;03 - 04;2346;647
31/01/2019;04 - 05;2446;581
31/01/2019;05 - 06;2421;554
31/01/2019;06 - 07;2294;572
31/01/2019;07 - 08;2171;538
31/01/2019;08 - 09;2073;511
31/01/2019;09 - 10;1940;454
31/01/2019;10 - 11;1896;345
31/01/2019;11 - 12;1829;294
31/01/2019;12 - 13;1785;266
31/01/2019;13 - 14;1786;242
31/01/2019;14 - 15;1738;211
31/01/2019;15 - 16;1692;148
31/01/2019;16 - 17;1607;100
31/01/2019;17 - 18;1546;70
31/01/2019;18 - 19;1505;72
31/01/2019;19 - 20;1367;107
31/01/2019;20 - 21;1185;93
31/01/2019;21 - 22;999;95
31/01/2019;22 - 23;792;98
31/01/2019;23 - 00;756;138
01/02/2019;00 - 01;791;119
01/02/2019;01 - 02;745;91
01/02/2019;02 - 03;805;111
01/02/2019;03 - 04;877;163
01/02/2019;04 - 05;964;218
01/02/2019;05 - 06;1071;248
01/02/2019;06 - 07;1220;280
01/02/2019;07 - 08;1351;358
01/02/2019;08 - 09;1416;460
01/02/2019;09 - 10;1411;555
01/02/2019;10 - 11;1306;590
01/02/2019;11 - 12;1276;555
01/02/2019;12 - 13;1427;565
01/02/2019;13 - 14;1418;525
01/02/2019;14 - 15;1342;483
01/02/2019;15 - 16;1275;373
01/02/2019;16 - 17;1186;353
01/02/2019;17 - 18;1111;308
01/02/2019;18 - 19;1100;211
01/02/2019;19 - 20;1055;153
01/02/2019;20 - 21;1029;118
01/02/2019;21 - 22;1024;98
01/02/2019;22 - 23;928;65
01/02/2019;23 - 00;735;69
02/02/2019;00 - 01;609;77
02/02/2019;01 - 02;654;53
02/02/2019;02 - 03;694;51
02/02/2019;03 - 04;682;71
02/02/2019;04 - 05;611;87
02/02/2019;05 - 06;568;120
02/02/2019;06 - 07;520;148
02/02/2019;07 - 08;492;135
02/02/2019;08 - 09;473;139
02/02/2019;09 - 10;525;137
02/02/2019;10 - 11;513;158
02/02/2019;11 - 12;426;153
02/02/2019;12 - 13;401;165
02/02/2019;13 - 14;460;272
02/02/2019;14 - 15;548;297
02/02/2019;15 - 16;535;266
02/02/2019;16 - 17;531;209
02/02/2019;17 - 18;560;179
02/02/2019;18 - 19;572;164
02/02/2019;19 - 20;575;156
02/02/2019;20 - 21;588;158
02/02/2019;21 - 22;631;180
02/02/2019;22 - 23;723;173
02/02/2019;23 - 00;910;128
03/02/2019;00 - 01;797;135
03/02/2019;01 - 02;803;180
