countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,type,cases,rgdpe_per_pers,cases_per_pers
DMA,Dominica,East Caribbean Dollar,2019,840.083313,741.6141968,0.071808,,,,916.637085,1069.638306,839.1471558,753.6078491,2821.068848,,,,765.7719727,916.1255493,1077.663574,2833.898438,,,,,,0.040546142,2.7,0.672141969,0.694037974,0.772815704,Extrapolated,Extrapolated,Market-based,Regular,,,50.0,0.898236036,0.203024939,0.318095595,0.071524434,-0.502717853,0.011836901,0.707016528,0.825217962,0.573663354,0.748007596,0.546867728,0.628595173,,confirmed,8517.0,11699.021181483957,0.11860795454545454
DNK,Denmark,Danish Krone,2019,322637.5,311838.0,5.771876,2.971836567,1380.607643,3.59926486,205815.2813,297974.6563,321613.5625,312004.0625,1594880.0,0.021039983,0.914099216,0.839620173,311263.6563,205050.125,298115.4688,1598105.625,1.039087653,1.026076198,1.017729998,0.620392084,0.058174238,0.042991955,6.669446615,1.18972075,1.088586926,1.122114658,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.446605474,0.295378715,0.213050321,0.523103178,-0.515128732,0.036990989,1.158098936,0.862729669,1.256007671,0.673927963,0.604830384,0.835327387,0.731464148,confirmed,1438181.0,55898.20363431231,0.24917046034946005
DOM,Dominican Republic,Dominican Peso,2019,190792.6563,192514.5,10.738958,5.12667942,2142.10201,2.767153978,153096.5781,199471.9531,190204.0938,192885.8594,774568.875,0.00760838,0.607320666,0.604046166,195627.875,152966.625,200570.8438,776113.0,1.135214448,1.006134868,1.021434069,0.426877469,0.163489208,0.034040216,51.29485833,0.458189577,0.46761018,0.461108804,Extrapolated,Extrapolated,Market-based,Regular,Regular,,70.0,0.645083189,0.240429088,0.14863272,0.071047701,-0.203038186,0.097845532,0.484640062,0.498709947,0.343391448,0.698148608,0.577168226,0.326058388,0.775826752,confirmed,542056.0,17766.403062569014,0.05047566067396855
DZA,Algeria,Algerian Dinar,2019,488952.375,507487.5625,43.053054,11.27345371,,2.383965492,365349.0938,518958.8125,487570.8125,503848.3125,2487455.25,,,,481677.125,364103.2813,520122.875,2492357.0,,,,,,0.044345099,119.3535583,0.283178478,0.351042092,0.339701176,Extrapolated,Extrapolated,Market-based,Regular,,,52.2222,0.446116716,0.30487296,0.279000521,0.136288255,-0.135641977,-0.030636493,0.331239551,0.512450516,0.206329703,0.519367814,0.606340408,0.327125698,,confirmed,238885.0,11356.973073269088,0.0055486191525460655
ECU,Ecuador,US Dollar,2019,195248.4063,195204.0156,17.373662,8.246670723,1551.642809,2.76246953,144930.3438,194450.0469,194528.1875,194288.4531,1162897.125,0.013353598,0.424816161,0.408914745,194146.8281,144713.1406,195264.5156,1165263.5,1.050468445,0.978546798,0.97625953,0.666959107,0.03368029,0.039995827,1.0,0.556005597,0.552288413,0.552969873,Extrapolated,Extrapolated,Market-based,Regular,Regular,,66.66666667,0.59837687,0.254877269,0.147577584,0.195758685,-0.17788963,-0.018700814,0.559093177,0.541409254,0.543486416,0.58709532,0.586689174,0.352912545,0.310279697,confirmed,658045.0,11238.18376920191,0.037876010250458426
EGY,Egypt,Egyptian Pound,2019,1101849.125,1210669.75,100.388073,26.79464722,,2.676786423,1076649.875,1191591.75,1100661.125,1212398.375,1822150.5,0.020963883,1.171235085,1.107124805,1287589.0,1075373.125,1209770.375,1837650.25,1.104656696,1.013954759,0.978194833,0.362035632,0.282855809,0.054470941,16.77058184,0.266082615,0.288335145,0.261761576,Extrapolated,Extrapolated,Market-based,Regular,Regular,,85.5556,0.772291541,0.094805419,0.115741618,0.033312012,-0.084862716,0.068712123,0.279996157,0.496772438,0.173243791,0.758467555,0.764500797,0.306315899,1.118359923,confirmed,411749.0,10975.896758173652,0.004101572902988187
ESP,Spain,Euro,2019,1932678.625,1886595.25,46.736776,19.87201309,1685.951506,2.985405207,1364310.625,1868718.625,1926702.125,1889426.625,11827519.0,0.122773647,0.838133276,0.797255397,1896315.375,1360893.75,1867740.75,11733525.0,1.03315258,1.002305031,1.003471732,0.555432141,0.073548056,0.037513707,0.893276257,0.778481245,0.723251641,0.737520337,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.536944151,0.266963542,0.185132369,0.268881321,-0.315479487,0.057558078,0.787650287,0.573868036,0.751888096,0.663767874,0.629928768,0.482414573,0.584308982,confirmed,9280890.0,41352.41645679625,0.19857788222277037
EST,Estonia,Euro,2019,49209.03125,44876.34766,1.325648,0.67297554,1797.214536,3.659491062,33610.70703,47387.75,49077.12109,45079.35156,219444.0938,0.002637491,0.63934809,0.646392465,44788.53906,33568.46484,47573.89453,219529.2969,1.068453074,1.064455032,1.056689739,0.588352978,0.066460058,0.044980232,0.893276257,0.644818187,0.641258121,0.698126733,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.498721749,0.305617601,0.246868074,0.769579172,-0.81509316,-0.005693469,0.686045766,0.632572889,0.561530292,0.661395252,0.590104043,0.52730751,0.568789423,confirmed,296466.0,37120.737367687354,0.22363855261728605
ETH,Ethiopia,Ethiopian Birr,2019,286037.6563,304937.2188,112.07873,58.06097031,,1.455194354,248479.4844,321696.0625,284914.375,304722.5625,648750.0,,,,249437.2188,249344.25,321875.0313,645510.1875,,,,,,0.04668415,29.06975,0.290096015,0.325536817,0.304375619,Extrapolated,Extrapolated,Market-based,Regular,,,61.1111,0.703534544,0.240272895,0.111894026,0.009129456,-0.087932885,0.023101971,0.296542645,0.445814461,0.249562785,0.608570457,0.590014637,0.273724675,,confirmed,462514.0,2552.1136463626954,0.00412668844481018
FIN,Finland,Euro,2019,261017.3438,248551.5469,5.532156,2.673705339,1590.694538,3.50445199,193049.7813,259182.4063,260316.4844,249282.9844,1281196.5,0.015575872,0.806985915,0.806955993,248022.4219,192498.3281,259878.7813,1284489.125,1.037010908,0.984099269,0.980636358,0.571271718,0.06121001,0.037876289,0.893276257,1.051617146,1.034495711,1.080283642,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.543934762,0.265291333,0.230485454,0.432647675,-0.479986131,0.007626878,1.040507555,0.984516263,1.077835202,0.675364256,0.616117001,0.917873085,0.85835278,confirmed,371135.0,47181.84805345331,0.0670868645063516
