countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,type,cases,rgdpe_per_pers,cases_per_pers
IRL,Ireland,Euro,2019,499741.0938,501053.5938,4.882495,2.260447741,1771.977942,3.185516834,149572.4844,432442.4063,496190.625,496383.5,1868599.25,0.034805156,0.932362258,0.781207442,472685.6563,149207.5313,415084.8125,1859457.25,1.230298758,0.971984863,1.100806117,0.316836327,0.190242186,0.071181245,0.893276257,1.096177936,0.8033005,0.80298841,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.214789078,0.56986171,0.086535379,0.512966752,-0.338840604,-0.045312293,1.093603253,0.648436427,1.102568269,0.670557976,0.603306115,0.559197485,0.905969262,confirmed,1149660.0,102353.63145277159,0.23546567892030612
IRQ,Iraq,Iraqi Dinar,2019,451417.125,468582.5313,39.309783,8.772139549,,2.288905859,312326.4063,378913.25,450834.75,458890.1563,1132113.125,0.025330193,0.677262902,0.537847281,455805.0,312057.125,379502.75,1131363.375,1.059066534,0.987622499,0.908128798,0.296306312,0.143441036,0.049672898,1182.0,0.494265318,0.499589652,0.490819782,Extrapolated,Extrapolated,Market-based,Regular,Regular,,34.44446667,0.523407698,0.145104125,0.157204866,0.334050477,-0.149446264,-0.01032088,0.481733531,0.524563432,0.535989463,0.551802278,0.675586164,0.346731156,0.724572122,confirmed,2159993.0,11483.5822166711,0.05494797567312951
ISL,Iceland,Iceland Krona,2019,19886.88086,17972.625,0.339031,0.192338079,1454.494825,3.282233,14287.75195,18899.88477,19836.83203,18182.48047,93709.98438,0.001086336,0.941022992,0.940755665,17635.35938,14248.55273,19064.89258,94027.375,1.030238986,1.040648699,1.017147899,0.641832829,0.05003779,0.035788659,122.6067736,1.272201657,1.219349742,1.330293536,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.542143404,0.253658086,0.24365437,0.452831417,-0.595359266,0.103071995,1.246636391,1.055621624,1.329085827,0.63500303,0.607754111,1.094543695,0.923480928,confirmed,58409.0,58658.00136270724,0.17228218068554202
ISR,Israel,New Israeli Sheqel,2019,364017.4688,328529.5313,8.519377,4.228710175,1900.874779,3.891540051,270357.375,356585.3125,363184.25,329783.3125,1226272.125,0.015277859,0.72020036,0.748960614,344039.4375,269575.7188,357668.4375,1228059.125,1.077744246,1.008397579,1.008972526,0.552985311,0.123591691,0.044187523,3.564527347,1.126020551,1.087873697,1.198055267,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.57488668,0.26146847,0.244916335,0.249009222,-0.394236773,0.063956,1.128996253,0.968268752,1.119035959,0.712239563,0.589008272,0.867593169,1.338660598,confirmed,2424823.0,42728.17939621641,0.28462445082545357
ITA,Italy,Euro,2019,2508404.5,2466327.5,60.550075,25.59632874,1717.833818,3.158385038,1810091.125,2423950.0,2500243.0,2462820.0,18855818.0,0.203140244,0.708141088,0.670318365,2467813.5,1806238.125,2430690.75,18900202.0,1.012889266,0.992592752,0.991087973,0.522367239,0.071550563,0.03641247,0.893276257,0.872949421,0.801352501,0.813529253,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.577943027,0.249250352,0.157023847,0.307117254,-0.292340577,0.001006074,0.846609354,0.59023416,0.969896913,0.704259574,0.657741189,0.474914938,0.545518696,confirmed,10001344.0,41426.94290634652,0.1651747582476157
JAM,Jamaica,Jamaican Dollar,2019,26373.17188,24867.32422,2.948279,1.244899988,,2.599545956,25364.89648,30017.83203,26322.55469,25149.85742,152178.1875,0.001468922,0.385386735,0.442395836,24640.00195,25335.66016,30139.63672,152398.2656,1.017573595,0.996240258,0.9968943,0.594869375,0.037550502,0.032145958,133.3121183,0.560269415,0.601414502,0.629457414,Extrapolated,Extrapolated,Market-based,Regular,Regular,,61.11113333,0.82926327,0.185008436,0.179287076,0.375789016,-0.569347739,0.0,0.578303814,0.825711727,0.476854295,0.637115359,0.575723767,0.596690536,0.505596161,confirmed,120682.0,8945.276847950958,0.04093303245724031
JOR,Jordan,Jordanian Dinar,2019,102984.8984,108987.2344,10.101694,2.459289789,,2.902185917,95345.95313,115551.4297,102803.0781,109624.8125,360493.6875,0.003218647,0.814721286,0.825935006,107604.0234,95093.44531,115562.8359,361080.625,1.087289453,0.964338839,0.928743303,0.490124285,0.159081697,0.028652146,0.71,0.419469595,0.432893842,0.405955672,Extrapolated,Extrapolated,Market-based,Regular,Regular,,82.22226667,0.660125315,0.184314802,0.209622622,0.117823936,-0.295589089,0.123702437,0.453097224,0.496240348,0.313572407,0.643592596,0.596740186,0.33120802,0.816364408,confirmed,1152526.0,10194.814691476498,0.11409234926340077
JPN,Japan,Yen,2019,5028348.0,5036891.0,126.860301,69.9766922,1691.08526,3.593987226,3765119.5,5003006.0,5016027.0,5031850.0,26102876.0,0.35054937,0.634822369,0.607052386,5099254.0,3752664.0,5012932.0,26138818.0,1.012054443,1.004506111,1.005843163,0.563643992,0.042121675,0.042308975,109.0096659,1.014986753,1.013245344,1.010059118,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.531637728,0.246010229,0.216619775,0.190841421,-0.190700814,0.005591646,1.048585176,1.007948637,0.932528079,0.734815955,0.751225114,1.02722156,0.732608378,confirmed,2220382.0,39636.89160724914,0.01750257552991302
KAZ,Kazakhstan,Tenge,2019,533491.75,525124.0625,18.551427,8.820713043,,3.110008717,382911.0,468428.7813,533052.1875,520080.2188,1148598.75,0.021094443,0.761574864,0.659715056,512810.75,389042.375,477199.2813,1147050.75,1.0809232,1.027609468,1.045466304,0.380724192,0.119829699,0.05654081,382.7473106,0.289972395,0.34080562,0.349306077,Extrapolated,Extrapolated,Market-based,Regular,Regular,,86.66666667,0.515051723,0.1644319,0.221201986,0.202671275,-0.11798659,0.014629705,0.352574408,0.568414569,0.144208461,0.547628284,0.625083089,0.416343838,0.61758703,confirmed,1252265.0,28757.450841921756,0.0675023544010927
KEN,Kenya,Kenyan Shilling,2019,217529.4375,222738.4688,52.573973,25.07402229,,2.346707344,212852.0156,245250.375,217130.7813,223246.2344,540344.6875,0.006068511,0.354103833,0.374133766,227564.0625,212669.6094,245225.6094,539580.9375,1.081890106,1.032278895,1.015696883,0.682223082,0.119863071,0.05447901,101.9912984,0.42870602,0.439835727,0.427787155,Extrapolated,Extrapolated,Market-based,Regular,Regular,,57.7778,0.805771649,0.145123914,0.147668928,0.039746769,-0.127900332,-0.010410926,0.437974215,0.512956142,0.378133118,0.657731116,0.602733195,0.306802601,0.579105496,confirmed,320399.0,4137.587956306821,0.006094251237204386
KGZ,Kyrgyzstan,Som,2019,32178.34961,39366.72656,6.41585,2.670628071,,3.54983139,37087.21484,42437.53125,32201.56836,39531.11328,87622.60156,0.001127262,0.435266167,0.449403912,40511.76563,37243.91016,42908.24609,87792.65625,1.111722231,0.994155705,0.979912162,0.479843646,0.074405551,0.036252357,69.78934918,0.225363329,0.262553036,0.213872537,Extrapolated,Extrapolated,Market-based,Regular,Regular,,96.66666667,0.630093515,0.135344476,0.308084279,0.0772295,-0.188051298,0.037299551,0.278501213,0.5203439,0.116685815,0.650550425,0.671109557,0.36335817,0.451761007,confirmed,195820.0,5015.4460609272355,0.03052128712485485
KHM,Cambodia,Riel,2019,69445.99219,74190.30469,16.486542,8.731463432,2474.911893,1.963675737,54025.3125,68115.07813,69183.63281,74427.92188,210421.9531,,,,72751.4375,54020.36328,68410.30469,210893.1094,,,,,,0.039204028,4059.864017,0.372281879,0.391681701,0.36408329,Extrapolated,Extrapolated,Market-based,Regular,,,60.0,0.672653317,0.189307481,0.05322095,0.293153703,-0.425053984,0.216718614,0.375719696,0.466067612,0.328831971,0.679446638,0.641006827,0.263757467,,confirmed,121066.0,4212.283703277498,0.007343322814450721
KNA,Saint Kitts and Nevis,East Caribbean Dollar,2019,1457.379395,1211.703613,0.052823,,,,1272.781128,1722.283569,1454.193604,1223.573364,11312.90723,,,,1172.880005,1265.726563,1724.111572,11420.69629,,,,,,0.028965537,2.7,0.721304953,0.722732246,0.858953416,Extrapolated,Extrapolated,Market-based,Regular,,,44.44446667,0.659154475,0.367368609,0.381061971,0.471110612,-0.878695667,3.52401e-10,0.889353752,0.7267735,0.430616975,0.668208361,0.538472712,0.582152605,,confirmed,5254.0,27589.86416901728,0.09946424852810329
KWT,Kuwait,Kuwaiti Dinar,2019,235355.9844,261068.5313,4.207083,2.372540236,,2.272485018,150543.2188,221443.875,234497.7031,253742.5938,967252.375,0.016508946,0.790824354,0.663774908,232072.4375,150092.9688,224075.3125,973027.75,1.138752222,0.911342978,0.966191828,0.24949263,0.118818223,0.064552836,0.303611163,0.647739053,0.574093401,0.530551851,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.397920847,0.279419631,0.195370242,0.484430104,-0.18289879,-0.174242005,0.615061343,0.417721808,0.714295447,0.524583519,0.722505093,0.272618413,0.708700061,confirmed,502630.0,55942.795613968156,0.11947232797641502
LBN,Lebanon,Lebanese Pound,2019,100265.5703,101120.8516,6.855713,2.001898289,,,93783.92969,120355.3047,100058.5156,101815.1719,583424.3125,0.006184844,,,100609.1641,91926.125,119317.2969,583640.625,1.058381796,,,0.444804221,0.146800473,0.035227481,1507.5,0.580036461,0.533358335,0.524156094,Extrapolated,Extrapolated,Market-based,Regular,Regular,,44.44443333,0.613876283,0.260976613,0.307243109,0.04200751,-0.286633402,0.062529862,0.740384042,0.368607432,0.259659618,0.700801849,0.587994993,0.280428678,0.554748535,confirmed,866894.0,14625.111975953487,0.12644840879424213
LBR,Liberia,US Dollar,2019,6062.126953,6212.169922,4.937374,1.918607593,,1.838316917,6544.963867,7767.974609,6051.369629,6232.748047,25000.24023,,,,6406.844238,6524.753418,7656.267578,24863.95898,,,,,,0.05728947,1.0,0.354584575,0.426720351,0.414302379,Extrapolated,Extrapolated,Market-based,Regular,,,54.44443333,0.812096715,0.196223348,0.237996086,0.18637763,-0.338145703,-0.094548099,0.310233563,0.81275636,0.505920231,0.768945336,0.655542254,0.460011482,,confirmed,7243.0,1227.8038797547035,0.001466974144555385
LCA,Saint Lucia,East Caribbean Dollar,2019,2766.35376,2602.488525,0.18279,0.083700001,,,2107.395996,2652.762695,2759.151611,2625.148926,11749.2334,,,,2255.114258,2105.534424,2666.945801,11785.60938,,,,,,0.039618637,2.7,0.736507297,0.769240737,0.808507204,Extrapolated,Extrapolated,Market-based,Regular,,,58.88886667,0.663513541,0.207746983,0.13925837,0.062569775,-0.359727114,0.286638379,0.759689748,0.895728707,0.626051724,0.592099309,0.660561442,0.620703161,,confirmed,19755.0,15134.054160512062,0.10807483998030526
LKA,Sri Lanka,Sri Lanka Rupee,2019,271111.0,283395.0,21.323733,8.180496216,1922.513181,2.858037472,227905.6875,286880.9063,270329.1875,283475.25,828180.25,0.008552293,0.70193994,0.683214784,284266.6875,228135.0625,286474.4063,827478.5625,1.109781981,0.995387971,0.970636964,0.411475003,0.186484307,0.064793095,178.744925,0.290224254,0.31076473,0.296353132,Extrapolated,Extrapolated,Market-based,Regular,Regular,,81.11113333,0.627929747,0.20804362,0.17604062,0.069065489,-0.123027951,0.04194849,0.327053338,0.390141994,0.158856407,0.610357642,0.591177344,0.239007667,0.669441462,confirmed,602763.0,12714.049645997724,0.028267236323020927
LSO,Lesotho,Loti,2019,5521.240234,5727.321289,2.125268,0.666798174,,1.699462175,6909.228516,8508.192383,5513.29834,5820.875,27976.6875,0.000323417,0.320039421,0.449907213,6411.652832,6904.927734,8620.072266,27933.94141,1.10003686,0.978017092,0.963526189,0.661128879,0.042097583,0.039088845,14.45178923,0.425962299,0.446207315,0.422629625,Extrapolated,Extrapolated,Market-based,Regular,Regular,,67.7778,0.858348191,0.27469483,0.328626007,0.303706199,-0.696698248,-0.068677001,0.416439742,0.533687353,0.450834543,0.604167223,0.551231742,0.31253466,0.298486739,confirmed,32049.0,2597.903056932114,0.01507998050128266
LTU,Lithuania,Euro,2019,103480.1875,89642.17969,2.759627,1.379528642,1886.084474,3.296741009,80593.03125,97968.44531,103352.4141,90408.30469,379209.5,0.004217781,0.715779305,0.745981157,92056.61719,80693.64063,98368.61719,379171.5313,1.068853974,1.03928256,1.008902311,0.535492718,0.102690391,0.043386493,0.893276257,0.524132133,0.528554797,0.604230046,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.657728016,0.192188263,0.233705983,0.711844683,-0.795466959,0.0,0.556210101,0.549068809,0.433853775,0.657423496,0.548743308,0.460375369,0.6966663,confirmed,612500.0,37497.88920749072,0.22195028531029737
LUX,Luxembourg,Euro,2019,69541.32813,55710.79297,0.615729,0.460662842,1505.558542,3.619642973,27761.58789,44365.51172,69309.04688,56199.69141,275867.1875,0.003179648,0.983424544,0.746660948,56563.88281,27738.52734,44890.75,277529.1563,1.03770113,0.979594767,0.981342375,0.562985718,0.122810535,0.043368671,0.893276257,1.193151355,1.025911093,1.265218973,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.349228084,0.295445114,0.144753069,0.373464197,-0.634806871,0.471916437,1.068362713,0.746287107,1.494213462,0.699133098,0.634588063,0.688324511,1.131675482,confirmed,143067.0,112941.45335041877,0.23235384398006267
LVA,Latvia,Euro,2019,59915.99609,56079.44531,1.906743,0.896588743,1864.975821,3.156420231,45493.69922,60296.60938,59795.52734,56482.9375,460683.3125,0.004074024,0.593730628,0.609586954,56261.55469,45375.11719,60375.85938,456653.8438,1.032964826,1.04382658,1.061881304,0.57134974,0.037985992,0.031370778,0.893276257,0.588100731,0.570325494,0.603773713,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.550870955,0.26207757,0.254570544,0.398963451,-0.555468798,0.088986307,0.650935948,0.515696943,0.452130169,0.641106725,0.566306055,0.467174321,0.415505379,confirmed,339494.0,31423.215446444538,0.17804916551417785
MAR,Morocco,Moroccan Dirham,2019,281738.125,288999.75,36.471769,11.52229786,,1.935794353,208758.6094,305416.4063,280396.375,289744.2188,1531662.875,0.017817141,0.51704222,0.524172723,290480.2188,208319.5781,306705.375,1536148.25,1.076097369,1.009607673,1.011874318,0.485400736,0.104135998,0.051182348,9.6170761,0.439972192,0.426897913,0.413125128,Extrapolated,Extrapolated,Market-based,Regular,Regular,,66.66666667,0.539659798,0.333596975,0.180832967,0.15439342,-0.300930917,0.092447795,0.439127922,0.398660481,0.44249171,0.655595243,0.585767806,0.251077861,0.400343865,confirmed,1101163.0,7724.82752344697,0.030192201535384804
MDG,Madagascar,Malagasy Ariary,2019,40378.02344,41507.46094,26.969307,13.94478035,,1.720187426,38365.66797,43826.65625,40323.77734,41620.14844,101824.8828,,,,44965.42188,37990.12891,44882.71094,101956.3594,,,,,,0.040663064,3618.321858,0.316178828,0.349785328,0.338890314,Extrapolated,Extrapolated,Market-based,Regular,,,55.5556,0.807085037,0.131210178,0.114720143,0.118481278,-0.173627824,0.002131132,0.297691166,0.58588475,0.446243972,0.54529196,0.545811832,0.35438183,,confirmed,57375.0,1497.1843154887144,0.0021274184019633878
MDV,Maldives,Rufiyaa,2019,10161.58301,10306.47461,0.530953,0.189434811,,2.61097765,6115.028809,10987.5498,10085.32422,10408.5918,59680.17188,,,,11060.11328,6074.89209,11047.9248,59791.19141,,,,,,0.050228015,15.38204192,0.566936791,0.559442997,0.542067945,Extrapolated,Extrapolated,Market-based,Regular,,,64.44443333,0.405740798,0.468124926,0.18175739,0.028625522,-0.481257349,0.397008717,0.614658356,0.550038278,0.460407019,0.639031172,0.585947096,0.278571993,,confirmed,120168.0,19138.385148967987,0.22632511728910093
MEX,Mexico,Mexican Peso,2019,2463237.75,2390322.5,127.575529,54.99359512,2137.0,2.777052879,1974026.25,2418695.5,2458029.5,2391290.0,10933568.0,0.116166912,0.581408501,0.565589011,2406409.75,1971863.25,2418382.75,10934023.0,1.034341812,0.975559294,0.964533448,0.360263675,0.114671864,0.039244857,19.26363333,0.490237504,0.511157811,0.525423884,Extrapolated,Extrapolated,Market-based,Regular,Regular,,93.33333333,0.654787183,0.185953677,0.170719668,0.266321748,-0.289474726,0.011692468,0.524662018,0.604029536,0.358203828,0.723407686,0.657724857,0.460764378,0.801246703,confirmed,4685767.0,19308.073964561023,0.036729355831242524
MKD,North Macedonia,Denar,2019,33646.66016,32876.15625,2.083459,0.858669698,,,29453.8457,38233.66016,33572.37891,33106.08594,138411.6719,0.001364842,,,33739.85938,29384.0332,38201.25391,139120.6563,1.078870535,,,0.494108051,0.065505743,0.038247004,54.9472,0.343830854,0.378132969,0.383458883,Extrapolated,Extrapolated,Market-based,Regular,Regular,,82.22223333,0.616687596,0.265202403,0.272993088,0.362923115,-0.517895043,8.88832e-05,0.402758688,0.493207097,0.210713655,0.651824296,0.559643626,0.440935403,0.544888735,confirmed,256996.0,16149.422743620105,0.123350639489426
MLI,Mali,CFA Franc BCEAO,2019,47398.62109,48087.625,19.658031,6.150091648,,1.380388618,44034.39453,52613.78906,47311.73047,48250.6875,72468.17969,,,,47226.65625,43982.38672,53307.10938,72423.03906,,,,,,0.052334212,585.9110132,0.350690156,0.368463129,0.361292839,Extrapolated,Extrapolated,Market-based,Regular,,,67.7778,0.763229012,0.177808762,0.149387941,0.088253491,-0.2079276,0.029248415,0.345029175,0.459684372,0.379612297,0.527568221,0.469470173,0.360805184,,confirmed,29742.0,2411.1581210752997,0.0015129694321877913
MLT,Malta,Euro,2019,22352.87891,17134.9082,0.440372,0.22019051,1915.416717,3.163501024,13344.9375,17742.0332,22313.96484,17330.59766,62440.54297,0.000746287,0.825386286,0.812676728,17294.8418,13216.93359,17703.83789,61996.10156,1.070911169,1.040816665,1.057484984,0.513729036,0.168603927,0.057964865,0.893276257,0.671142578,0.666111946,0.857650578,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.510641336,0.253718674,0.25938043,0.352211505,-0.854537606,0.47858566,0.721141517,0.650844216,0.572709858,0.678718567,0.554436445,0.504438162,1.121507168,confirmed,66071.0,50759.083025260465,0.1500345162726059
MNE,Montenegro,Euro,2019,12907.79004,13721.4668,0.627987,0.243799999,,,11743.16699,15313.78223,12878.2207,13872.33887,47241.96484,,,,13337.98438,11712.15625,15370.11035,47827.125,,,,,,0.040852167,0.893276257,0.410464257,0.430354625,0.399514586,Extrapolated,Extrapolated,Market-based,Regular,,,85.55556667,0.585740864,0.257391036,0.260775864,0.053543668,-0.411670923,0.254219472,0.471812129,0.495770693,0.272667974,0.643529117,0.513950586,0.337363869,,confirmed,213896.0,20554.231281857745,0.3406057768711773
MNG,Mongolia,Tugrik,2019,41388.47266,38380.40234,3.225167,1.37653482,,3.055498838,30878.64258,42685.03906,41267.35156,38103.89844,174303.7656,0.004226612,0.31519264,0.339588255,36614.54688,31088.46289,43602.4375,174470.3438,1.102158785,1.040153503,1.1899997,0.402784437,0.033747148,0.050103877,2663.541398,0.30290094,0.335685462,0.363554686,Extrapolated,Extrapolated,Market-based,Regular,Regular,,91.11113333,0.572021365,0.309847444,0.238358781,0.320382237,-0.298523903,-0.14208594,0.351783097,0.421430707,0.185591921,0.624170303,0.538672149,0.250436008,0.226664528,confirmed,430328.0,12832.970404323249,0.13342812945810248
MOZ,Mozambique,Metical,2019,35524.14844,37315.92578,30.366036,11.01795769,,1.228446841,34398.05859,47576.76953,35366.62109,37394.91406,116302.3359,0.001832587,0.283949822,0.347451836,38393.83203,34233.91406,48616.85547,117342.5,1.311575651,0.875248373,0.977071881,0.414862096,0.086364754,0.056641832,62.54833333,0.393127739,0.432519317,0.409059525,Extrapolated,Extrapolated,Market-based,Regular,Regular,,64.4445,0.709067225,0.352419853,0.21079208,0.271851867,-0.544131041,1.18913e-16,0.38497442,0.535336137,0.420554101,0.617103398,0.567853093,0.384281099,0.565585494,confirmed,222652.0,1169.864530227126,0.007332270830476523
MRT,Mauritania,Ouguiya,2019,19384.74414,21162.97461,4.525696,1.129066229,,1.825787067,16245.73535,21371.62695,19335.61328,21248.32227,97626.71875,0.001510956,0.425955385,0.412047744,22862.27148,16157.67676,21507.03711,97755.91406,1.041916728,0.996539533,0.994911432,0.40408957,0.034546699,0.047549065,36.69083333,0.325445652,0.392733634,0.357380927,Extrapolated,Extrapolated,Market-based,Regular,Regular,,54.44446667,0.568191826,0.241237432,0.196373731,0.129924789,-0.195480704,0.059752967,0.356646091,0.605992675,0.235169649,0.820981324,0.847408891,0.409870058,0.346809477,confirmed,57480.0,4283.262539065814,0.012700808892157139
MUS,Mauritius,Mauritius Rupee,2019,29455.95508,29758.16016,1.269668,0.582811475,,2.632302284,27894.0918,32524.06055,29426.18945,30030.89648,97370.29688,0.000499543,1.248934388,1.300908804,30252.94141,27834.11328,32612.02734,97371.50781,1.072069407,1.019579649,1.022856236,0.426136106,0.179826602,0.040629044,35.47351667,0.460074067,0.481898546,0.47219494,Extrapolated,Extrapolated,Market-based,Regular,Regular,,85.55556667,0.720461965,0.154173493,0.208384544,0.097314671,-0.33773151,0.157396853,0.492953062,0.613384247,0.346399277,0.642053902,0.552255452,0.382187128,1.886391044,confirmed,25159.0,23199.730228689703,0.019815416313555982
MWI,Malawi,Kwacha,2019,20362.39258,21635.06641,18.628747,7.950417995,,2.039123058,20989.88672,23826.56445,20314.86523,21734.96094,24313.98242,,,,22166.92773,20984.89258,23873.66602,24438.29492,,,,,,0.066599652,737.9166667,0.364368349,0.398686737,0.372637749,Extrapolated,Extrapolated,Market-based,Regular,,,73.33333333,0.873738885,0.130512252,0.091981158,0.067755856,-0.24153088,0.077542737,0.362767279,0.65262413,0.379576951,0.619848192,0.560214937,0.474269509,,confirmed,83927.0,1093.062919368651,0.004505241281123201
MYS,Malaysia,Malaysian Ringgit,2019,892731.0,822237.375,31.949777,15.11832333,2197.058086,3.078611374,631545.0625,823445.875,889645.8125,818144.5625,3598296.25,0.043554187,0.575231075,0.556824267,821182.8125,630582.125,826335.625,3603976.0,1.086063981,1.015575886,1.011968374,0.39598161,0.164352015,0.051062208,4.142469736,0.412969589,0.409920603,0.445745319,Extrapolated,Extrapolated,Market-based,Regular,Regular,,78.8889,0.646487594,0.234556094,0.125436008,0.433989257,-0.423889369,-0.016579561,0.412462354,0.3998864,0.41558376,0.670548677,0.590842962,0.25875926,0.585656166,confirmed,2836159.0,27941.697370845497,0.08876928937563476
NAM,Namibia,Namibian Dollar,2019,25195.9707,23331.65625,2.49453,0.742307007,,2.251428366,25127.45117,28178.25195,25191.70117,23621.18945,79837.92969,0.000975168,0.658268571,0.755242229,23732.87695,25062.07813,28104.49219,79759.50781,1.043439984,0.941202521,0.940269232,0.511087656,0.154273942,0.057187356,14.44869042,0.487763196,0.490887046,0.523524821,Extrapolated,Extrapolated,Market-based,Regular,Regular,,50.00003333,0.796738148,0.129155234,0.267029285,0.421882361,-0.644225955,0.029420931,0.480969429,0.516616166,0.508033872,0.627789259,0.531368256,0.331689835,0.717952967,confirmed,155255.0,10100.488148067972,0.06223817713156386
NER,Niger,CFA Franc BCEAO,2019,27399.27344,28226.43555,23.310715,8.869727135,,1.224986911,24881.84961,31737.02344,27302.51758,28234.16992,130140.1172,0.001554722,0.252536952,0.273015112,27602.59766,24821.65234,31961.64844,130762.5703,1.106884003,1.027931571,1.044818521,0.449940413,0.089288026,0.045533996,585.9110132,0.445348918,0.473496795,0.457872719,Extrapolated,Extrapolated,Market-based,Regular,Regular,,67.7778,0.758014262,0.242797062,0.123252958,0.089577839,-0.156626478,-0.057015698,0.426202506,0.575663686,0.563100815,0.606534898,0.655025542,0.342972785,0.529641986,confirmed,8592.0,1175.3939525235498,0.0003685858627674012
NGA,Nigeria,Naira,2019,983498.25,1001537.313,200.963599,73.02055359,,1.974245191,930095.4375,1036661.0,981853.6875,995048.3125,3203823.5,0.033792369,0.514628828,0.515652657,1006236.563,921188.6875,1044952.25,3115441.25,1.038808227,0.982489049,1.019409895,0.465241849,0.058563318,0.034205303,306.9210309,0.404958278,0.48328653,0.476877987,Extrapolated,Extrapolated,Market-based,Regular,Regular,,56.66666667,0.837362766,0.10709586,0.097361118,0.106134191,-0.078965098,-0.068988875,0.418510616,1.166928887,0.288400292,0.507702887,0.602858782,0.78294158,0.869552553,confirmed,252428.0,4893.912404504659,0.0012560881734607074
NIC,Nicaragua,Cordoba Oro,2019,33386.31641,32886.40625,6.545502,2.662456989,,2.28634882,30969.66406,34969.20703,33347.86328,33074.5,134578.375,0.00158408,0.369323462,0.37555185,33332.58203,30764.75586,33623.20703,135061.9531,1.018380523,0.90702194,0.813648939,0.552100897,0.063988291,0.040660787,33.12174527,0.354675382,0.37546289,0.378566116,Extrapolated,Extrapolated,Market-based,Regular,Regular,,51.11113333,0.702178359,0.120925218,0.234182388,0.271778643,-0.329064578,1.45276e-16,0.388614804,0.536426783,0.252910554,0.628305554,0.574858427,0.370715171,0.409962267,confirmed,17604.0,5100.650249591246,0.002689480501266366
NLD,Netherlands,Euro,2019,958314.625,950077.9375,17.09713,9.456908226,1439.731516,3.396878481,606039.125,856004.5625,955673.3125,950203.4375,4745302.5,0.059539109,0.914709628,0.79252547,960770.875,604083.75,856724.5625,4748427.5,1.0298208,0.99882704,1.00276649,0.59589386,0.06735225,0.043435697,0.893276257,1.022062182,0.94912225,0.95458591,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.437680364,0.263065159,0.200118989,0.919172823,-0.856057227,0.03601988,0.954889596,0.772279978,1.168975592,0.66038841,0.632948101,0.709758043,0.712902904,confirmed,3954299.0,56051.198359022834,0.23128437345917122
NOR,Norway,Norwegian Krone,2019,336415.4063,396253.875,5.378857,2.853661776,1384.073291,3.662843227,216700.5156,329255.875,335132.25,388492.4688,1723067.25,0.023207922,1.030039549,0.839605749,377715.3438,215975.7969,329937.8125,1723175.125,1.054513812,0.977179468,0.996918619,0.528503537,0.061985712,0.03822932,8.8,1.288979411,1.203514099,1.038208961,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.374180079,0.289723426,0.183618426,0.513055921,-0.333769619,-0.026808249,1.243976355,1.038969398,1.380687118,0.521928847,0.664355576,0.978129923,0.9488886,confirmed,641138.0,62544.03236598407,0.11919595557197375
NPL,Nepal,Nepalese Rupee,2019,88801.10938,103878.7344,28.60871,15.65270901,,1.823577166,82805.48438,121314.5781,88171.50781,103970.75,345289.0625,,,,103411.7344,82979.14063,123787.3203,346541.75,,,,,,0.04105258,112.6094828,0.300552666,0.348354399,0.295419008,Extrapolated,Extrapolated,Market-based,Regular,,,74.44443333,0.70102942,0.370383948,0.09540116,0.012323175,-0.203519061,0.024381377,0.292720377,0.451141745,0.358105987,0.669210732,0.621541381,0.263092875,,confirmed,918448.0,3103.9885887899172,0.032103789370439985
NZL,New Zealand,New Zealand Dollar,2019,200579.2344,198604.6094,4.783063,2.506080866,1778.984431,3.40705514,156656.2656,199965.0156,200119.9063,199241.375,656662.8125,0.008535158,0.838828444,0.809689462,196352.7813,156290.3281,200266.9219,656923.5,1.065050364,1.003140569,1.007105231,0.552415431,0.078948259,0.037720032,1.517875,1.010190606,1.034062266,1.038621783,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.587967634,0.21736826,0.198296115,0.299130678,-0.316736102,0.013973439,1.025606871,1.120410442,0.964479983,0.663428724,0.669835687,1.20202446,1.256626368,confirmed,15687.0,41935.31099214039,0.0032796975494573245
