date;Hours;DK1;DK2
01/01/2020;00 - 01;1303;364
01/01/2020;01 - 02;1542;318
01/01/2020;02 - 03;1793;317
01/01/2020;03 - 04;2116;347
01/01/2020;04 - 05;2310;383
01/01/2020;05 - 06;2429;436
01/01/2020;06 - 07;2412;486
01/01/2020;07 - 08;2387;502
01/01/2020;08 - 09;2549;445
01/01/2020;09 - 10;2735;434
01/01/2020;10 - 11;2818;448
01/01/2020;11 - 12;2968;547
01/01/2020;12 - 13;2949;560
01/01/2020;13 - 14;2760;541
01/01/2020;14 - 15;2699;538
01/01/2020;15 - 16;2729;516
01/01/2020;16 - 17;2743;514
01/01/2020;17 - 18;2700;517
01/01/2020;18 - 19;2577;426
01/01/2020;19 - 20;2528;306
01/01/2020;20 - 21;2502;202
01/01/2020;21 - 22;2455;151
01/01/2020;22 - 23;2607;187
01/01/2020;23 - 00;2589;237
02/01/2020;00 - 01;2561;282
02/01/2020;01 - 02;2518;251
02/01/2020;02 - 03;2595;244
02/01/2020;03 - 04;2690;280
02/01/2020;04 - 05;2777;290
02/01/2020;05 - 06;2903;318
02/01/2020;06 - 07;3106;305
02/01/2020;07 - 08;3220;320
02/01/2020;08 - 09;3281;351
02/01/2020;09 - 10;3341;345
02/01/2020;10 - 11;3371;352
02/01/2020;11 - 12;3328;355
02/01/2020;12 - 13;3206;355
02/01/2020;13 - 14;3167;351
02/01/2020;14 - 15;3174;376
02/01/2020;15 - 16;3267;362
02/01/2020;16 - 17;3483;359
02/01/2020;17 - 18;3616;419
02/01/2020;18 - 19;3715;543
02/01/2020;19 - 20;3750;653
02/01/2020;20 - 21;3810;695
02/01/2020;21 - 22;3425;643
02/01/2020;22 - 23;3198;713
02/01/2020;23 - 00;3163;726
03/01/2020;00 - 01;3101;708
03/01/2020;01 - 02;3144;699
03/01/2020;02 - 03;3084;700
03/01/2020;03 - 04;2980;763
03/01/2020;04 - 05;2945;789
03/01/2020;05 - 06;2824;722
03/01/2020;06 - 07;2486;814
03/01/2020;07 - 08;2336;817
03/01/2020;08 - 09;2213;799
03/01/2020;09 - 10;1775;776
03/01/2020;10 - 11;1411;750
03/01/2020;11 - 12;1271;720
03/01/2020;12 - 13;1299;660
03/01/2020;13 - 14;1417;581
03/01/2020;14 - 15;1301;458
03/01/2020;15 - 16;1362;316
03/01/2020;16 - 17;1855;218
03/01/2020;17 - 18;2026;172
03/01/2020;18 - 19;2343;219
03/01/2020;19 - 20;2738;305
03/01/2020;20 - 21;2716;423
03/01/2020;21 - 22;2938;557
03/01/2020;22 - 23;2927;615
03/01/2020;23 - 00;2776;715
04/01/2020;00 - 01;2484;721
04/01/2020;01 - 02;2676;736
04/01/2020;02 - 03;2748;759
04/01/2020;03 - 04;2734;782
04/01/2020;04 - 05;2491;797
04/01/2020;05 - 06;2376;821
04/01/2020;06 - 07;2652;777
04/01/2020;07 - 08;2847;755
04/01/2020;08 - 09;3277;807
04/01/2020;09 - 10;3280;790
04/01/2020;10 - 11;3429;714
04/01/2020;11 - 12;3397;726
04/01/2020;12 - 13;3325;821
04/01/2020;13 - 14;3404;836
04/01/2020;14 - 15;3439;857
04/01/2020;15 - 16;3502;874
04/01/2020;16 - 17;3163;846
04/01/2020;17 - 18;2831;819
04/01/2020;18 - 19;2498;777
04/01/2020;19 - 20;2324;741
04/01/2020;20 - 21;1898;619
04/01/2020;21 - 22;1541;561
04/01/2020;22 - 23;1059;452
04/01/2020;23 - 00;759;283
05/01/2020;00 - 01;582;200
05/01/2020;01 - 02;481;230
05/01/2020;02 - 03;400;220
05/01/2020;03 - 04;435;162
05/01/2020;04 - 05;568;148
05/01/2020;05 - 06;734;196
05/01/2020;06 - 07;824;228
05/01/2020;07 - 08;984;181
05/01/2020;08 - 09;1223;143
05/01/2020;09 - 10;1427;79
05/01/2020;10 - 11;1717;104
05/01/2020;11 - 12;1978;147
05/01/2020;12 - 13;2181;202
05/01/2020;13 - 14;2419;256
05/01/2020;14 - 15;2517;343
05/01/2020;15 - 16;2463;443
05/01/2020;16 - 17;2431;462
05/01/2020;17 - 18;2436;516
05/01/2020;18 - 19;2440;563
05/01/2020;19 - 20;2528;590
05/01/2020;20 - 21;2476;587
05/01/2020;21 - 22;2615;583
05/01/2020;22 - 23;2177;541
05/01/2020;23 - 00;2122;503
06/01/2020;00 - 01;1772;454
06/01/2020;01 - 02;1861;470
06/01/2020;02 - 03;1834;516
06/01/2020;03 - 04;1716;526
06/01/2020;04 - 05;1632;547
06/01/2020;05 - 06;1414;492
06/01/2020;06 - 07;1372;480
06/01/2020;07 - 08;1418;490
06/01/2020;08 - 09;1534;443
06/01/2020;09 - 10;1701;417
06/01/2020;10 - 11;1817;407
06/01/2020;11 - 12;1855;425
06/01/2020;12 - 13;1861;393
06/01/2020;13 - 14;1886;336
06/01/2020;14 - 15;1961;319
